Median frame time was: 41.14046ms 24.306973fps
Average frame time was: 41.338173ms 24.190716fps
Best frame time was: 40.697525ms 24.571518fps
Worst frame time was: 56.462997ms 17.710714fps

listing frames

41.206882ms 24.267792fps
56.462997ms 17.710714fps
41.068596ms 24.349506fps
41.115948ms 24.321463fps
41.340275ms 24.189486fps
41.989243ms 23.815624fps
40.864796ms 24.470942fps
41.142414ms 24.305817fps
41.14221ms 24.30594fps
40.92877ms 24.432692fps
40.80271ms 24.508177fps
40.92493ms 24.434984fps
40.91641ms 24.440073fps
41.128586ms 24.31399fps
40.70521ms 24.56688fps
40.8458ms 24.48232fps
40.86787ms 24.4691fps
40.931427ms 24.431107fps
40.878624ms 24.462664fps
40.811157ms 24.503103fps
40.856136ms 24.476126fps
41.00909ms 24.384836fps
40.77421ms 24.525307fps
40.809902ms 24.503857fps
40.760174ms 24.533752fps
41.001476ms 24.389366fps
40.82855ms 24.492666fps
40.931633ms 24.43098fps
40.984085ms 24.399714fps
40.986042ms 24.39855fps
41.120483ms 24.318779fps
41.03584ms 24.368942fps
41.038002ms 24.367657fps
41.106937ms 24.326796fps
41.024174ms 24.375872fps
41.345722ms 24.186298fps
41.12342ms 24.317043fps
41.340908ms 24.189117fps
40.8157ms 24.500376fps
41.195427ms 24.27454fps
40.724064ms 24.555506fps
41.147163ms 24.30301fps
41.29125ms 24.218206fps
42.296753ms 23.642477fps
40.862003ms 24.472612fps
41.44818ms 24.126513fps
40.810463ms 24.503521fps
40.97417ms 24.405619fps
40.80578ms 24.506332fps
40.86808ms 24.468973fps
41.635773ms 24.017807fps
40.98737ms 24.39776fps
41.032764ms 24.370768fps
41.165672ms 24.292086fps
41.104843ms 24.328033fps
40.893223ms 24.45393fps
41.595543ms 24.041037fps
41.125305ms 24.31593fps
41.32379ms 24.199135fps
41.205765ms 24.26845fps
41.168816ms 24.29023fps
40.9785ms 24.403042fps
41.666576ms 24.000053fps
41.037163ms 24.368155fps
41.09639ms 24.333038fps
41.160435ms 24.295176fps
41.093456ms 24.334774fps
40.99987ms 24.390322fps
41.14235ms 24.305857fps
41.20883ms 24.266642fps
41.09234ms 24.335436fps
41.04422ms 24.363966fps
41.03912ms 24.366995fps
41.17021ms 24.289406fps
40.981644ms 24.401169fps
41.293484ms 24.216896fps
41.023823ms 24.37608fps
41.159107ms 24.29596fps
41.454468ms 24.122852fps
40.971096ms 24.40745fps
40.941414ms 24.425146fps
40.983177ms 24.400255fps
40.822266ms 24.496437fps
41.079487ms 24.34305fps
40.814163ms 24.501299fps
40.92968ms 24.432148fps
40.905167ms 24.446789fps
40.920113ms 24.43786fps
40.905655ms 24.446499fps
40.949726ms 24.420189fps
41.123768ms 24.31684fps
41.051483ms 24.359655fps
41.04506ms 24.363468fps
41.062798ms 24.352943fps
40.98262ms 24.400587fps
41.007973ms 24.385502fps
41.11727ms 24.320679fps
50.799435ms 19.685259fps
42.407936ms 23.580492fps
41.310944ms 24.206661fps
41.348938ms 24.184418fps
41.54561ms 24.069933fps
45.892178ms 21.790205fps
41.438263ms 24.132286fps
41.584023ms 24.047697fps
41.24459ms 24.245604fps
41.04883ms 24.36123fps
41.236565ms 24.250322fps
41.30696ms 24.208994fps
41.280212ms 24.22468fps
41.02103ms 24.377739fps
41.0225ms 24.376867fps
40.91718ms 24.439611fps
41.093666ms 24.33465fps
41.001198ms 24.389532fps
41.098976ms 24.331507fps
41.10065ms 24.330515fps
41.11518ms 24.321917fps
40.913757ms 24.441656fps
41.275043ms 24.227716fps
